date,value
31/01/1978,207.83
28/02/1978,227.27
31/03/1978,245.67
28/04/1978,242.05
31/05/1978,239.16
30/06/1978,257.62
31/07/1978,279.07
31/08/1978,294.74
29/09/1978,300.82
31/10/1978,355.11
30/11/1978,391.66
29/12/1978,391.99
31/01/1979,455.08
28/02/1979,675.31
30/03/1979,665.32
30/04/1979,553.58
31/05/1979,517.41
29/06/1979,513.82
31/07/1979,600.72
31/08/1979,644.28
28/09/1979,627.15
31/10/1979,673.63
30/11/1979,661.15
31/12/1979,623.46
31/01/1980,594.92
29/02/1980,557.39
31/03/1980,499.76
30/04/1980,498.76
30/05/1980,495.8
30/06/1980,479.7
31/07/1980,460.76
29/08/1980,409.28
30/09/1980,410.16
31/10/1980,443.75
28/11/1980,437.75
31/12/1980,413.37
30/01/1981,410.09
27/02/1981,384.13
31/03/1981,374.13
30/04/1981,330.25
29/05/1981,350.34
30/06/1981,333.82
31/07/1981,314.98
31/08/1981,338.97
30/09/1981,364.23
30/10/1981,437.31
30/11/1981,422.15
31/12/1981,414.91
29/01/1982,444.29
26/02/1982,481.29
31/03/1982,491.2
30/04/1982,419.7
31/05/1982,432.88
30/06/1982,438.01
30/07/1982,412.84
31/08/1982,422.72
30/09/1982,416.24
29/10/1982,411.8
30/11/1982,393.58
31/12/1982,381.66
31/01/1983,388.34
28/02/1983,370.89
31/03/1983,385.92
29/04/1983,394.26
31/05/1983,381.36
30/06/1983,377.4
29/07/1983,377.67
31/08/1983,347.47
30/09/1983,347.68
31/10/1983,341.09
30/11/1983,340.17
30/12/1983,341.18
31/01/1984,320.16
29/02/1984,302.79
30/03/1984,299.1
30/04/1984,303.94
31/05/1984,325.27
29/06/1984,316.37
31/07/1984,316.49
31/08/1984,317.22
28/09/1984,329.79
31/10/1984,323.35
30/11/1984,325.84
31/12/1984,325.3
31/01/1985,321.88
28/02/1985,345.38
29/03/1985,338.89
30/04/1985,345.7
31/05/1985,340.44
28/06/1985,342.38
31/07/1985,342.72
30/08/1985,348.34
30/09/1985,376.59
31/10/1985,417.73
29/11/1985,423.51
31/12/1985,397.55
31/01/1986,390.92
28/02/1986,408.26
31/03/1986,401.11
30/04/1986,408.91
30/05/1986,438.35
30/06/1986,460.23
31/07/1986,449.59
29/08/1986,450.52
30/09/1986,461.15
31/10/1986,460.35
28/11/1986,465.35
31/12/1986,467.57
30/01/1987,486.24
27/02/1987,476.58
31/03/1987,442.07
30/04/1987,443.61
29/05/1987,451.55
30/06/1987,451.07
31/07/1987,451.33
31/08/1987,437.63
30/09/1987,431.28
30/10/1987,413.45
30/11/1987,406.78
31/12/1987,420.17
29/01/1988,419.05
29/02/1988,404.01
31/03/1988,387.51
29/04/1988,390.15
31/05/1988,384.4
30/06/1988,371.05
29/07/1988,367.6
31/08/1988,375.04
30/09/1988,365.14
31/10/1988,361.75
30/11/1988,366.88
30/12/1988,394.26
31/01/1989,409.39
28/02/1989,410.11
31/03/1989,416.81
28/04/1989,393.06
31/05/1989,374.24
30/06/1989,369.05
31/07/1989,352.33
31/08/1989,362.53
29/09/1989,394.73
31/10/1989,389.32
30/11/1989,380.74
29/12/1989,381.72
31/01/1990,376.95
28/02/1990,383.64
30/03/1990,363.83
30/04/1990,363.33
31/05/1990,358.38
29/06/1990,356.95
31/07/1990,366.72
31/08/1990,367.68
28/09/1990,356.3
31/10/1990,348.74
30/11/1990,358.69
31/12/1990,360.17
